Time,Time Code,Country Name,Country Code,GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Individuals using the Internet (% of population) [IT.NET.USER.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Domestic credit to private sector by banks (% of GDP) [FD.AST.PRVT.GD.ZS]
2002,YR2002,Saudi Arabia,SAU,189605866666.667,-0.688390130317757,0.247189309008564,19.6933428220224,73.296,6.38471,100,40.94880327191,28.9483976585816
2002,YR2002,Singapore,SGP,92538372869.6942,3.92336076702013,..,25.0736127933875,78.5512195121951,47,100,184.086118066532,102.02168884254
2002,YR2002,Slovenia,SVN,23214593516.2095,3.28258371393918,7.48077770703754,25.70100156278,76.0073170731707,27.8389,100,52.9416529201899,..
2002,YR2002,South Africa,ZAF,129087556612.449,3.70037440406668,9.494713780996,15.036119660525,55.58,6.71032,76.7,28.4311672176802,50.124844442117
2002,YR2002,Spain,ESP,708938227243.923,2.75545611564098,3.06565685902219,26.705648861478,79.5682926829268,20.39,100,26.5642672698948,99.2929603794007
2002,YR2002,Switzerland,CHE,309301422430.386,-0.0732172569941127,0.642711506543279,26.2149402183817,80.3853658536585,61.4,100,48.5596411646909,137.508267166597
2002,YR2002,Sweden,SWE,267373345246.531,2.27767113062968,2.15848213589264,21.6043689870445,79.8463414634146,70.57,100,41.160909734463,89.6179910990447
2002,YR2002,Thailand,THA,134300904400.022,6.14903605210036,..,22.7441937694577,71.775,7.53125,91,60.6457526009701,96.8693914875577
2002,YR2002,Turkiye,TUR,240249071871.106,6.44772204681594,44.9641209479849,21.107589539959,72.605,11.38,99.8,25.1051190164424,14.0547619893406
2002,YR2002,United Arab Emirates,ARE,109816201497.617,2.43345681089617,..,22.5456815521944,78.721,28.3165,100,49.5033473840813,36.1001735680635
2002,YR2002,United States,USA,10929108000000,1.7004473278454,1.58603162650601,21.722669407238,76.9365853658537,58.7854,100,9.13138565379718,50.3122652888464
2002,YR2002,United Kingdom,GBR,1785729916067.15,1.79566074059649,1.52040245947455,18.3525971535261,78.1439024390244,56.48,100,24.5103610004373,124.171527035795
2002,YR2002,Viet Nam,VNM,35064105500.8344,6.32082099160833,..,33.2205344910613,73.138,1.855,89.1,54.7391336880928,43.1307744856858
2003,YR2003,Germany,DEU,2534715518349.01,-0.529929010433477,1.03422218628562,19.5766263092364,78.3804878048781,55.9,100,31.2678451095809,108.505942047742
2003,YR2003,India,IND,607700687237.318,7.8603814759073,3.8058589952885,30.8396999424416,64.086,1.68649,65.4,14.9479138581734,31.6262656186491
2003,YR2003,Australia,AUS,467739079790.332,3.09076190489348,2.73259596616786,25.9369848139976,80.2390243902439,..,100,19.0572127285496,99.1347105275741
2003,YR2003,Austria,AUT,260779834340.097,1.14156504542775,1.35555370896452,24.4562050749722,78.6317073170732,42.7,100,44.8257225915126,87.9545213374514
2003,YR2003,Belgium,BEL,318082528506.588,1.03795518162204,1.58896399970379,20.9647077064668,78.1292682926829,49.97,100,69.0365085088844,62.5301831222026
2003,YR2003,Brazil,BRA,558233745651.874,1.14082899824888,14.7149197228147,16.8566884007152,70.884,13.2076,97,15.1807837086861,27.6856699444345
2003,YR2003,China,CHN,1683903309843.85,10.1181928640117,1.12760348729637,39.4280130265115,73.385,6.2,97.4,26.6023738514511,123.760461710766
2003,YR2003,Denmark,DNK,218421193436.252,0.441091006625101,2.07507820646508,20.885998901756,77.1439024390244,76.26,100,43.7731471646248,139.864644973646
2003,YR2003,Indonesia,IDN,234772463823.808,4.78036912167654,6.75731256333563,25.5984983869787,67.134,2.38702,87.9,30.4776547809661,21.1893780653538
2003,YR2003,Ireland,IRL,164670771259.602,3.01383792883469,3.49221909079765,25.7442230479854,78.1390243902439,34.31,100,80.8405915956942,85.7141754141768
2003,YR2003,Israel,ISR,131408914824.005,1.4490576944626,0.707630616818064,22.8189221878312,79.6487804878049,19.5934,100,32.6890976814998,73.8443459121274
2003,YR2003,Italy,ITA,1582930016538.82,0.0665538088732092,2.67255552772849,21.5802501954429,79.9829268292683,29.04,100,23.2240496903642,64.9071807206875
2003,YR2003,Japan,JPN,4519561645253.53,1.53512549946694,-0.25654181631606,25.6609651799745,81.76,48.4353,100,11.4658015766594,94.7063049197986
2003,YR2003,"Korea, Rep.",KOR,702714855193.904,3.14729119373409,3.51487451459939,32.2796152215581,77.2146341463415,65.5,100,31.3978372633201,111.115985740985
2003,YR2003,Luxembourg,LUX,29667268248.1305,2.61937861354482,2.04984030563517,21.3095582474848,77.7268292682927,54.55,100,132.848052488235,69.0540352114956
